,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
,Market Return:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&P 500,,-3.1%,30.23%,7.49%,9.97%,1.33%,37.2%,22.68%,33.10%,28.34%,20.89%,-9.03%,-11.83%,-21.97%,28.36%,10.74%,$4.83,15.61%,5.48%,-36.55%,25.94%,14.82%,2.10%,15.89%,32.15%,13.52%,1.38%,11.77%,21.61%,-4.23%,31.21%,18.02%,28.47%,-18.04%,26.06%,24.88%,
,P/E,,15.13,15.35,25.93,22.5,21.34,14.89,18.08,19.53,24.29,32.92,29.04,27.55,46.17,31.43,22.73,19.99,18.07,17.36,21.46,70.91,20.7,16.3,14.87,17.03,18.15,20.02,22.18,23.59,24.97,19.6,24.88,35.96,23.11,22.82,25.01,
,Growth of $1,0,96.9%,2.2713,3.3462,4.4459,5.4592,683.1%,8.058,938.90%,10.6724,11.8813,12.791,13.6727,14.453,15.7366,16.844,22.674,23.8301,24.8849,25.5194,26.7788,27.927,2894.80%,30.1069,31.4284,32.5636,33.5774,34.6951,35.9112,36.8689,38.181,39.3612,40.6459,41.4655,42.7261,43.9749,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Return: (DY + EGR),0,-3.01%,-22.02%,22.38%,17.37%,42.68%,13.22%,16.05%,4.17%,-3.7%,28.91%,5.02%,-49.25%,13.54%,78.27%,21.75%,21.03%,18.49%,-16.94%,-74.29%,244.56%,53.59%,14.54%,1.69%,17.76%,4.03%,-13.31%,11.3%,18.05%,22.58%,7.18%,-30.93%,111.5%,-10.99%,12.89%,9.93%,
,GROWTH OF $1,0,0.9699,1.7497,2.9735,4.1472,5.574,6.7062,7.8667,8.9084,9.8714,11.1605,12.2107,12.7182,13.8536,15.6363,16.8538,18.0641,19.249,20.0796,20.3367,23.7823,25.3182,26.4636,27.4805,28.6581,29.6984,30.5653,31.6783,32.8588,34.0846,35.1564,35.8471,37.9621,38.8522,39.9811,41.0804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&P 500 Returns from NYU Stern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
